日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,1444023.0,26648939.0,18.2,18.6,18.2,18.5,+0.50,765.0,False,,,
111/03/02,741139.0,13619946.0,18.4,18.5,18.25,18.5, 0.00,491.0,False,,,
111/03/03,1063710.0,19741134.0,18.7,18.75,18.5,18.5, 0.00,553.0,False,,,
111/03/04,1151260.0,21035114.0,18.3,18.5,18.15,18.2,-0.30,571.0,False,,,
111/03/07,2133528.0,37929362.0,18.0,18.0,17.7,17.75,-0.45,1128.0,False,,,
111/03/08,2859671.0,49909483.0,17.55,17.85,17.15,17.2,-0.55,1290.0,False,,,
111/03/09,1844964.0,32204825.0,17.45,17.6,17.25,17.55,+0.35,747.0,False,,,
111/03/10,1522572.0,27202356.0,17.9,18.1,17.7,17.8,+0.25,864.0,False,,,
111/03/11,740216.0,13177370.0,17.8,17.9,17.75,17.8, 0.00,466.0,False,0.40625000000000094,0.4687500000000003,0.4895833333333334
111/03/14,1022879.0,18113556.0,17.8,17.9,17.6,17.7,-0.10,607.0,False,0.3437500000000001,0.4270833333333336,0.4687500000000001
111/03/15,1533789.0,26672521.0,17.7,17.7,17.25,17.3,-0.40,718.0,False,0.09375000000000124,0.3159722222222228,0.41782407407407424
111/03/16,1654728.0,28573689.0,17.45,17.55,17.15,17.3, 0.00,805.0,False,0.11111111111111258,0.247685185185186,0.3611111111111113
111/03/17,1985940.0,35097287.0,17.5,17.8,17.5,17.7,+0.40,911.0,False,0.5789473684210517,0.35810591293047456,0.3601093783842325
111/03/18,1413510.0,24906656.0,17.7,17.8,17.55,17.55,-0.15,602.0,False,0.4210526315789483,0.3790881524799658,0.3664356364161435
111/03/21,1736426.0,30983611.0,17.7,17.95,17.7,17.8,+0.25,800.0,False,0.6842105263157897,0.4807956104252405,0.4045556277525091
111/03/22,1617622.0,29130320.0,17.8,18.15,17.7,18.1,+0.30,795.0,False,0.9500000000000028,0.6371970736168279,0.4821027763739487
