日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,3354616.0,1591058256.0,475.0,478.5,468.0,474.5,+18.50,3456.0,False,,,
111/03/02,1483063.0,696368667.0,473.0,473.0,465.0,472.0,-2.50,1792.0,False,,,
111/03/03,2571893.0,1236586380.0,477.0,486.5,476.5,477.5,+5.50,2679.0,False,,,
111/03/04,1804100.0,846473403.0,473.0,473.0,466.0,466.5,-11.00,2737.0,False,,,
111/03/07,2741731.0,1230781496.0,459.0,459.0,445.0,449.0,-17.50,4233.0,False,,,
111/03/08,1997847.0,894150622.0,440.0,455.5,440.0,448.0,-1.00,2503.0,False,,,
111/03/09,2352715.0,1063433712.0,448.0,456.5,448.0,451.0,+3.00,2249.0,False,,,
111/03/10,2075390.0,967608465.0,462.0,470.0,461.0,469.0,+18.00,2206.0,False,,,
111/03/11,1249402.0,582575344.0,466.0,470.5,462.0,466.0,-3.00,1357.0,False,0.5591397849462365,0.5197132616487454,0.5065710872162484
111/03/14,1260774.0,586527878.0,471.0,474.5,460.5,465.0,-1.00,1413.0,False,0.5376344086021505,0.5256869772998805,0.5129430505774589
111/03/15,2215605.0,1000693994.0,463.5,464.0,446.5,447.5,-17.50,2816.0,False,0.16129032258064516,0.404221425726802,0.4767025089605734
111/03/16,2390830.0,1062092131.0,455.0,456.5,440.0,445.0,-2.50,2703.0,False,0.14492753623188406,0.31779012922849603,0.4237317157165476
111/03/17,3186682.0,1450439020.0,459.0,460.5,450.0,455.0,+10.00,2954.0,False,0.43478260869565216,0.3567876223842147,0.4014170179391032
111/03/18,2964945.0,1349591008.0,460.0,461.0,451.0,455.0, 0.00,2317.0,False,0.43478260869565216,0.3827859511546938,0.3952066623443
111/03/21,1243311.0,570942249.0,458.0,462.0,456.5,459.5,+4.50,1360.0,False,0.5652173913043478,0.4435964312045785,0.41133658529772615
111/03/22,1213308.0,556539148.0,464.5,464.5,456.0,457.5,-2.00,1546.0,False,0.5072463768115942,0.4648130797402503,0.4291620834452342
111/03/23,1956214.0,894314565.0,457.5,462.5,454.5,457.5, 0.00,2317.0,False,0.5072463768115942,0.4789575120973649,0.4457605596626111
111/03/24,2140203.0,963056266.0,455.5,455.5,447.5,452.5,-5.00,2648.0,False,0.3623188405797101,0.4400779549248133,0.44386635808334507
111/03/25,1986110.0,890481276.0,450.0,453.5,446.0,446.0,-6.50,2479.0,False,0.24489795918367346,0.3750179563444333,0.4209168908370411
111/03/28,2663446.0,1151119964.0,441.0,442.0,428.5,430.5,-15.50,4073.0,False,0.05555555555555555,0.2685304894148074,0.3701214236962965
