日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,11569698.0,1061744583.0,91.5,92.7,90.0,92.7,+2.80,6984.0,False,,,,,,
111/03/02,10636687.0,977080042.0,91.8,93.5,90.8,92.0,-0.70,10341.0,False,,,,,,
111/03/03,16565016.0,1548279184.0,92.9,94.2,92.6,93.5,+1.50,9702.0,False,,,,,,
111/03/04,16083704.0,1495124802.0,94.3,94.5,91.5,91.5,-2.00,18022.0,False,,,,,,
111/03/07,11151236.0,1000494752.0,90.9,91.3,88.0,89.9,-1.60,7310.0,False,,,,91.92,,
111/03/08,10027798.0,877222081.0,89.0,90.0,84.1,85.9,-4.00,9202.0,False,,,,90.56,,
111/03/09,11223097.0,1005433988.0,87.9,90.5,87.2,90.5,+4.60,7656.0,False,,,,90.25999999999999,,
111/03/10,52871009.0,5155392874.0,93.9,99.5,92.2,99.5,+9.00,25894.0,False,,,,91.46,,
111/03/11,38949170.0,3855730109.0,99.5,101.0,96.8,99.5, 0.00,26361.0,False,0.9112426035502958,0.6370808678500985,0.5456936226166995,93.05999999999999,,
111/03/14,27858430.0,2800869972.0,100.0,103.0,99.1,99.4,-0.10,17660.0,False,0.8095238095238099,0.6945618484080023,0.5953163645471338,94.96,93.44,
111/03/15,22069150.0,2102011012.0,99.8,100.5,92.2,92.2,-7.20,14891.0,False,0.4285714285714289,0.6058983751291445,0.598843701407804,96.22,93.38999999999999,
111/03/16,17747482.0,1595532819.0,95.3,95.4,86.8,87.5,-4.70,11253.0,False,0.17989417989418013,0.4638969767174896,0.5538614598443659,95.62,92.93999999999998,
111/03/17,7223068.0,640660630.0,89.6,89.8,87.0,88.5,+1.00,5062.0,False,0.23280423280423304,0.3868660620797374,0.4981963272561564,93.42,92.43999999999998,
111/03/18,6042068.0,533799096.0,89.2,89.5,87.6,88.3,-0.20,4290.0,False,0.2222222222222223,0.3319847821272324,0.4427924788798484,91.17999999999999,92.11999999999998,
111/03/21,4713429.0,415474234.0,88.9,88.9,87.3,87.8,-0.50,3059.0,False,0.061728395061728385,0.2418993197720644,0.3758280925105871,88.85999999999999,91.90999999999998,
111/03/22,4430642.0,386534993.0,88.1,88.2,86.5,86.7,-1.10,3467.0,False,0.012121212121212293,0.16530661722178033,0.3056542674143181,87.76,91.98999999999998,
111/03/23,4707328.0,413207897.0,87.3,88.6,87.1,88.0,+1.30,3219.0,False,0.09090909090909093,0.1405074417842172,0.25060532553761783,87.85999999999999,91.73999999999998,
111/03/24,5015951.0,435537590.0,88.4,88.4,86.1,86.4,-1.60,3567.0,False,0.0177514792899415,0.09958878761945864,0.20026647956489807,87.43999999999998,90.42999999999998,
111/03/25,7029827.0,592566068.0,86.9,86.9,83.0,84.7,-1.70,5217.0,False,0.09714285714285732,0.09877347746059152,0.16643547886346252,86.72,88.94999999999999,
111/03/28,6093706.0,516826621.0,84.1,86.5,83.3,86.5,+1.80,4302.0,False,0.2822580645161289,0.15993500647910394,0.16426865473534302,86.45999999999998,87.66,90.55
111/03/29,5555505.0,481143451.0,86.5,87.6,85.7,86.3,-0.20,3754.0,False,0.4852941176470586,0.2683880435350888,0.1989751176685916,86.37999999999998,87.06999999999998,90.22999999999999
111/03/30,6284612.0,542765675.0,86.8,87.6,85.0,86.9,+0.60,4163.0,False,0.6000000000000009,0.3789253623567261,0.2589585325646364,86.16,87.00999999999998,89.975
111/03/31,4049156.0,349556498.0,86.5,87.1,85.7,86.4,-0.50,2201.0,False,0.5762711864406784,0.4447073037180436,0.3208747896157721,86.16,86.79999999999998,89.62
111/04/01,3706343.0,321896719.0,85.5,87.5,85.4,87.5,+1.10,2210.0,False,0.8035714285714294,0.5643286786691721,0.4020260859669054,86.72,86.71999999999998,89.42
111/04/06,2990069.0,260129240.0,86.5,87.8,85.8,87.5, 0.00,2076.0,False,0.8035714285714294,0.6440762619699245,0.4827094779679118,86.91999999999999,86.68999999999998,89.3
111/04/07,7445708.0,645632255.0,88.1,88.8,84.8,84.8,-2.70,5189.0,False,0.3103448275862066,0.5328324505086852,0.4994171354815029,86.61999999999998,86.49999999999997,89.24499999999999
111/04/08,7454345.0,654099070.0,85.5,88.7,85.5,88.5,+3.70,5069.0,False,0.9482758620689659,0.6713135876954455,0.5567159528861504,86.93999999999998,86.54999999999998,89.145
111/04/11,14680365.0,1329791736.0,89.0,92.2,88.7,90.5,+2.00,10226.0,False,0.8089887640449436,0.7172053131452781,0.6102124063058596,87.75999999999999,86.95999999999998,88.695
111/04/12,9420349.0,829379847.0,89.7,90.5,86.7,87.7,-2.80,7864.0,False,0.3918918918918924,0.6087675060608162,0.6097307728908451,87.8,87.25999999999998,88.10499999999999
111/04/13,4753539.0,421748481.0,88.2,89.5,88.0,88.4,+0.70,3437.0,False,0.4864864864864873,0.5680071662027065,0.5958229039947989,87.97999999999999,87.44999999999997,87.55499999999999
111/04/14,9818757.0,889338437.0,89.5,91.3,89.1,91.1,+2.70,6943.0,False,0.8513513513513503,0.6624552279189211,0.6180336786361729,89.24,87.92999999999998,87.49999999999999
111/04/15,42110841.0,4071198057.0,90.7,100.0,89.7,99.3,+8.20,24452.0,False,0.9539473684210524,0.7596192747529649,0.6652288773417702,91.4,89.16999999999999,88.08999999999999
111/04/18,26138960.0,2555641465.0,100.5,101.0,95.0,95.8,-3.50,17161.0,False,0.6790123456790123,0.7327502983949806,0.6877360176928403,92.46,90.10999999999999,88.45499999999998
111/04/19,43304119.0,4293243064.0,97.0,101.5,96.0,98.5,+2.70,24617.0,False,0.8203592814371258,0.7619532927423623,0.7124751093760142,94.61999999999999,91.20999999999998,88.96499999999999
111/04/20,88735811.0,9059395262.0,100.0,107.0,98.5,98.6,+0.10,45511.0,False,0.6093023255813951,0.7110696370220398,0.7120066185913559,96.66,92.31999999999998,89.50499999999998
111/04/21,45926100.0,4682076572.0,100.0,104.0,99.9,100.5,+1.90,20735.0,False,0.6798029556650246,0.7006474099030348,0.7082202156952488,98.53999999999999,93.88999999999999,90.19499999999998
111/04/22,39503631.0,3891453489.0,100.0,101.0,96.7,97.8,-2.70,21631.0,False,0.54679802955665,0.6493642831209064,0.6886015715038014,98.23999999999998,94.81999999999998,90.68499999999997
111/04/25,29451443.0,2673585853.0,95.1,95.2,88.3,88.3,-9.50,17100.0,False,0.015789473684210378,0.4381726799753411,0.605125274327648,96.73999999999998,94.59999999999998,90.77999999999997
111/04/26,19529879.0,1701089892.0,89.9,90.1,85.4,85.4,-2.90,11635.0,False,0.0,0.2921151199835607,0.5007885562129522,94.11999999999998,94.36999999999998,90.81499999999997
111/04/27,20206228.0,1734221612.0,83.2,87.9,81.9,86.0,+0.60,11806.0,False,0.16334661354581653,0.24919228450431266,0.4169231323100723,91.59999999999998,94.12999999999998,90.78999999999998
111/04/28,14084231.0,1235276239.0,87.3,89.0,85.0,87.0,+1.00,8474.0,False,0.20318725099601576,0.2338572733348803,0.3559011793183416,88.89999999999998,93.71999999999997,90.82499999999997
111/04/29,24995256.0,2285609381.0,88.1,93.4,87.4,92.2,+5.20,15333.0,False,0.41035856573705176,0.29269103746893743,0.3348311320352069,87.77999999999999,93.00999999999996,91.08999999999997
111/05/03,18709167.0,1734103868.0,92.2,94.6,90.1,94.6,+2.40,11595.0,False,0.5059760956175295,0.36378605685180143,0.3444827736407384,89.03999999999998,92.88999999999996,91.49999999999997
111/05/04,46171442.0,4556324089.0,95.2,100.5,95.1,100.5,+5.90,26844.0,False,0.8416289592760181,0.5230670243265403,0.4040108572026723,92.05999999999997,93.08999999999996,92.14999999999996
111/05/05,54320964.0,5617124095.0,103.0,105.0,100.5,105.0,+4.50,26862.0,False,1.0,0.6820446828843602,0.4966887990965682,95.85999999999997,93.72999999999996,93.02499999999996
111/05/06,38592669.0,4061007876.0,102.0,108.0,101.5,108.0,+3.00,20496.0,False,1.0,0.7880297885895734,0.5938024622609033,100.05999999999997,94.47999999999998,94.18499999999997
